planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
Kepler-407 c,2,3000,,,,4000,,5476,1,1.01,,,Radial Velocity,
Kepler-192 b,2,9.926746,0.09,,,,2.74,5479,,1.01,,,Transit,http://exoplanet.eu/catalog/kepler-192_b/
Kepler-192 c,2,21.2234,0.15,,,,2.79,5479,,1.01,,,Transit,http://exoplanet.eu/catalog/kepler-192_c/
HIP 14810 b,3,6.673855,0.0692,,52.88,,,5485,0.99,1,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hip_14810_b/
HIP 14810 c,3,147.73,0.545,,52.88,,,5485,0.99,1,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hip_14810_c/
HIP 14810 d,3,952,1.89,,52.88,,,5485,0.99,1,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hip_14810_d/
HD 168443 b,2,58.11247,0.2931,,37.88,,,5491,0.99,1.51,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_168443_b/
HD 168443 c,2,1749.83,2.8373,,37.88,,,5491,0.99,1.51,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_168443_c/
Kepler-447 b,1,7.79430132,0.0769,0.4,,435.41,18.49,5493,1,1.05,4.8,G8 V,Transit,
HD 111232 b,1,1143,1.97,,28.88,,,5494,0.78,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_111232_b/
HD 88133 b,1,3.41587,0.0472,,74.46,,,5494,1.2,1.93,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_88133_b/
Kepler-317 b,2,5.524242,0.061,,,,2.09,5497,0.95,0.94,,,Transit,http://exoplanet.eu/catalog/kepler-317_b/
Kepler-317 c,2,8.77501,0.083,,,,1.72,5497,0.95,0.94,,,Transit,http://exoplanet.eu/catalog/kepler-317_c/
Kepler-30 b,3,29.33434,0.18,1.02,1400,11.3,3.9,5498,0.99,0.95,,,Transit,http://exoplanet.eu/catalog/kepler-30_b/
Kepler-30 c,3,60.323105,0.3,1.88,1400,640,12.3,5498,0.99,0.95,,,Transit,http://exoplanet.eu/catalog/kepler-30_c/
Kepler-30 d,3,143.34394,0.5,0.19,1400,23.1,8.8,5498,0.99,0.95,,,Transit,http://exoplanet.eu/catalog/kepler-30_d/
HAT-P-25 b,1,3.652836,0.0466,0.42,297,180.202,13.339,5500,1.01,0.96,4.5,G5,Transit,http://exoplanet.eu/catalog/hat-p-25_b/
HAT-P-37 b,1,2.797436,0.0379,0.89,411,371.528,13.204,5500,0.93,0.88,,,Transit,http://exoplanet.eu/catalog/hat-p-37_b/
WASP-77 A b,1,1.3600309,0.024,1.33,93,559.36,13.56,5500,1,0.95,4.8,G8 V,Transit,http://exoplanet.eu/catalog/wasp-77a_b/
Kepler-218 b,2,3.619337,0.046,,,,1.48,5502,,1.06,,,Transit,http://exoplanet.eu/catalog/kepler-218_b/
Kepler-218 c,2,44.699576,0.248,,,,3.14,5502,,1.06,,,Transit,http://exoplanet.eu/catalog/kepler-218_c/
Kepler-368 b,2,26.84768,0.186,,,,3.26,5502,0.71,2.02,,,Transit,http://exoplanet.eu/catalog/kepler-368_b/
Kepler-368 c,2,72.379334,0.36,,,,3.88,5502,0.71,2.02,,,Transit,http://exoplanet.eu/catalog/kepler-368_c/
Kepler-399 b,3,14.425281,0.103,,,,0.96,5502,,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-399_b/
Kepler-399 c,3,26.67569,0.155,,,,1.43,5502,,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-399_c/
Kepler-399 d,3,58.034616,0.261,,,,1.89,5502,,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-399_d/
HD 43197 b,1,327.8,0.92,,56.3,,,5508,0.96,1,4.8,G8 V,Radial Velocity,http://exoplanet.eu/catalog/hd_43197_b/
WASP-83 b,1,4.971252,0.059,0.35,300,95.349,11.657,5510,1.11,1.05,4.8,G8,Transit,http://exoplanet.eu/catalog/wasp-83_b/
Kepler-209 b,2,16.087845,0.122,,,,2.26,5513,,0.94,,,Transit,http://exoplanet.eu/catalog/kepler-209_b/
Kepler-209 c,2,41.749882,0.231,,,,3.1,5513,,0.94,,,Transit,http://exoplanet.eu/catalog/kepler-209_c/
Kepler-15 b,1,4.942782,0.05714,0.93,,209.76,10.76,5515,1.02,0.99,,,Transit,http://exoplanet.eu/catalog/kepler-15_b/
Kepler-22 b,1,289.8623,0.849,14.7,190,36,2.38,5518,0.97,0.98,4.5,G5 V,Transit,http://exoplanet.eu/catalog/kepler-22_b/
HIP 91258 b,1,5.0505,0.057,,44.46,,,5519,0.95,1,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hip_91258_b/
Kepler-420 b,1,86.647661,0.382,2.1,900,460.83,10.54,5520,0.99,1.13,4.5,G5 V,Transit,
Kepler-77 b,1,3.57878087,0.04501,0.603,570,136.661,10.761,5520,0.95,0.99,4.5,G5 V,Transit,http://exoplanet.eu/catalog/kepler-77_b/
